Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF/16V(10%),C_0805_2012Metric,174.5,-114.0,0.0,top
C2,100uF/25V(20%),C_0805_2012Metric,174.55,-111.5,0.0,top
C3,0.1uF/50V(10%),C_0805_2012Metric,174.5,-109.0,0.0,top
C4,10uF,C_0805_2012Metric,120.0,-127.5,0.0,top
C5,0u1F,C_0805_2012Metric,118.75,-112.05,-90.0,top
C6,10uF,C_0805_2012Metric,115.25,-111.95,-90.0,top
C7,10uF,C_0805_2012Metric,115.25,-116.0,-90.0,top
C8,0u1F,C_0805_2012Metric,118.75,-116.0,-90.0,top
C9,1uF,C_0805_2012Metric,174.0,-151.1125,90.0,top
C10,1uF,C_0805_2012Metric,174.0,-103.0,90.0,top
C11,1000uF,C_0805_2012Metric,119.95,-131.5,0.0,top
D1,1N5819,SOD3715X145N,116.95,-135.25,180.0,top
D2,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,115.54,-138.0,180.0,top
D3,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,115.45,-129.0,180.0,top
D4,LESD5D5.0CT1G,TVS_LESD5D5.0CT1G,115.45,-131.0,180.0,top
D5,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,122.275,-111.19,0.0,top
D6,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,175.585,-119.95,180.0,bottom
D7,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,170.5,-117.0,180.0,bottom
D8,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,165.085,-115.0,180.0,bottom
D9,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,159.585,-113.45,180.0,bottom
D10,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,154.085,-111.95,180.0,bottom
D11,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,148.585,-111.55,180.0,bottom
D12,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,142.915,-111.45,180.0,bottom
D13,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.085,-112.15,180.0,bottom
D14,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,132.5,-112.7,180.0,bottom
D15,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,127.915,-113.95,180.0,bottom
D16,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,122.415,-115.45,180.0,bottom
D17,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,117.415,-117.45,180.0,bottom
D18,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,111.915,-120.45,180.0,bottom
D19,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,170.0,-139.5,180.0,bottom
D20,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,166.1,-137.0,180.0,bottom
D21,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,162.085,-134.95,180.0,bottom
D22,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,157.5,-133.5,180.0,bottom
D23,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,153.085,-132.45,180.0,bottom
D24,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,148.515,-132.0,180.0,bottom
